,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중,상장주식수
65,1020,페이퍼코리아,928,,0,934,942,919,"99,217","91,961,473","68,091,122,112",0,"73,374,054"
66,1040,CJ,"128,000",,-0.4,"128,000","129,000","126,500","64,476","8,250,711,000","3,734,655,744,000",0.21,"29,176,998"
67,1045,CJ우,"58,700",,-0.5,"59,000","59,200","57,800","11,294","656,945,700","132,675,090,100",0.01,"2,260,223"
68,1060,JW중외제약,"38,400",,1,"38,000","38,400","37,900","33,626","1,287,379,300","780,212,044,800",0.04,"20,318,022"
69,1065,JW중외제약우,"27,150",,0.2,"27,050","27,400","27,050",554,"15,056,500","4,544,231,250",0,"167,375"
70,1067,JW중외제약2우B,"43,350",,0.5,"43,400","43,450","43,050",236,"10,180,000","3,805,696,500",0,"87,790"
71,1070,대한방직,"13,900",,0,"14,000","14,000","13,750",891,"12,363,650","73,670,000,000",0,"5,300,000"
72,1080,만호제강,"18,500",,3.1,"18,200","18,500","17,950","4,477","82,065,400","76,775,000,000",0,"4,150,000"
73,1120,LG상사,"17,900",,1.1,"17,700","17,950","17,600","134,902","2,400,081,850","693,804,000,000",0.04,"38,760,000"
74,1130,대한제분,"240,500",,4.8,"234,000","246,000","228,000","13,016","3,090,402,000","406,445,000,000",0.02,"1,690,000"
75,1140,국보,"23,400",,-1.1,"23,550","23,900","23,100","54,424","1,271,979,250","39,365,913,600",0,"1,682,304"
76,1200,유진투자증권,"2,700",,0.2,"2,680","2,700","2,660","112,842","302,467,625","261,539,328,600",0.02,"96,866,418"
77,1210,금호전기,"5,030",,0.6,"4,995","5,050","4,935","56,502","282,907,810","35,092,192,370",0,"6,976,579"
78,1230,동국제강,"8,030",,1,"7,950","8,080","7,900","229,808","1,846,595,220","766,324,878,110",0.04,"95,432,737"
79,1250,GS글로벌,"2,725",,1.5,"2,690","2,725","2,675","147,483","399,335,870","224,904,506,900",0.01,"82,533,764"
80,1260,남광토건,"14,300",,0.4,"14,250","14,450","14,150","16,754","239,163,800","140,531,762,800",0.01,"9,827,396"
81,1270,부국증권,"20,850",,-0.2,"20,900","20,950","20,750","7,021","146,347,150","216,212,123,100",0.01,"10,369,886"
82,1275,부국증권우,"19,450",,0.3,"19,350","19,500","19,350",38,"737,100","58,350,000,000",0,"3,000,000"
83,1290,골든브릿지증권,"2,795",,2.2,"2,735","2,835","2,735","130,911","364,019,145","268,623,081,415",0.02,"96,108,437"
84,1340,백광산업,"2,880",,-0.4,"2,900","2,900","2,850","177,407","510,654,585","129,365,012,160",0.01,"44,918,407"
85,1360,삼성제약,"2,610",,0,"2,610","2,635","2,595","165,079","430,974,085","152,975,041,470",0.01,"58,611,127"
86,1380,SG충방,"2,390",,1.1,"2,335","2,405","2,335","191,217","455,572,460","107,464,301,770",0.01,"44,964,143"
87,1390,KG케미칼,"15,300",,2,"15,100","15,350","14,900","63,728","968,079,450","190,569,547,800",0.01,"12,455,526"
88,1420,태원물산,"5,230",,-1.1,"5,300","5,340","5,100","45,272","235,134,140","39,748,000,000",0,"7,600,000"
89,1430,세아베스틸,"21,250",,0.5,"20,950","21,350","20,600","60,258","1,267,277,650","762,070,028,750",0.04,"35,862,119"
90,1440,대한전선,"1,150",,1.3,"1,145","1,150","1,120","550,284","626,750,595","984,943,960,350",0.06,"856,473,009"
91,1450,현대해상,"38,600",,1.3,"37,900","38,600","37,900","123,815","4,750,220,800","3,450,840,000,000",0.2,"89,400,000"
92,1460,BYC,"253,500",,0.6,"250,000","254,000","250,000",946,"239,250,000","158,339,902,500",0.01,"624,615"
93,1465,BYC우,"144,000",,-4,"149,500","152,000","141,000","2,073","300,063,500","31,015,440,000",0,"215,385"
